indice_tiempo,canasta_basica_alimentaria,inversa_coeficiente_engel,canasta_basica_total,linea_indigencia,linea_pobreza
2000-09-01,62.44,2.42,151.1,192.93959999999998,466.89899999999994
2000-10-01,64.3,2.41,154.95,198.68699999999998,478.79549999999995
2000-11-01,63.47,2.43,154.23,196.1223,476.57069999999993
2000-12-01,62.76,2.45,153.75,193.92839999999998,475.0875
2001-01-01,62.73,2.45,153.69,193.83569999999997,474.90209999999996
2001-02-01,62.73,2.45,153.69,193.83569999999997,474.90209999999996
2001-03-01,62.92,2.44,153.52,194.4228,474.3768
2001-04-01,63.24,2.44,154.3,195.4116,476.78700000000003
2001-05-01,62.74,2.44,153.1,193.8666,473.07899999999995
2001-06-01,61.76,2.46,151.93,190.83839999999998,469.4637
2001-07-01,61.59,2.46,151.51,190.3131,468.16589999999997
2001-08-01,61.37,2.46,150.96,189.6333,466.4664
2001-09-01,61.02,2.46,150.11,188.55180000000001,463.8399
2001-10-01,60.5,2.48,150.05,186.945,463.65450000000004
2001-11-01,60.75,2.47,150.05,187.7175,463.65450000000004
2001-12-01,60.46,2.47,149.32,186.82139999999998,461.39879999999994
2002-01-01,62.41,2.47,154.16,192.84689999999998,476.35439999999994
2002-02-01,65.82,2.45,161.26,203.38379999999998,498.29339999999996
2002-03-01,69.83,2.43,169.7,215.7747,524.3729999999999
2002-04-01,81.76,2.37,193.77,252.6384,598.7493
2002-05-01,86.2,2.35,202.57,266.358,625.9413
2002-06-01,90.67,2.32,210.36,280.1703,650.0124
2002-07-01,94.93,2.3,218.34,293.3337,674.6706
2002-08-01,100.94,2.25,227.1,311.90459999999996,701.7389999999999
2002-09-01,104.87,2.21,231.77,324.0483,716.1693
2002-10-01,103.74,2.22,230.31,320.55659999999995,711.6578999999999
2002-11-01,105.08,2.21,232.23,324.69719999999995,717.5907
2002-12-01,105.72,2.2,232.59,326.6748,718.7031
2003-01-01,106.92,2.2,235.22,330.3828,726.8298
2003-02-01,107.56,2.19,235.56,332.36039999999997,727.8804
2003-03-01,107.83,2.17,233.99,333.19469999999995,723.0291
2003-04-01,106.55,2.18,232.28,329.23949999999996,717.7452
2003-05-01,104.6,2.19,229.07,323.21399999999994,707.8263
2003-06-01,103.13,2.21,227.92,318.6717,704.2728
2003-07-01,102.31,2.22,227.13,316.1379,701.8317
2003-08-01,102.08,2.21,225.6,315.42719999999997,697.1039999999999
2003-09-01,101.99,2.2,224.38,315.1491,693.3342
2003-10-01,104.12,2.19,228.02,321.7308,704.5818
2003-11-01,105.24,2.18,229.42,325.1916,708.9078
2003-12-01,105.76,2.19,231.61,326.7984,715.6749
2004-01-01,105.81,2.19,231.72,326.9529,716.0147999999999
2004-02-01,106.17,2.19,232.51,328.0653,718.4558999999999
2004-03-01,106.02,2.19,232.18,327.60179999999997,717.4362
2004-04-01,106.52,2.19,233.29,329.1468,720.8661
2004-05-01,106.66,2.19,233.58,329.57939999999996,721.7622
2004-06-01,106.88,2.19,234.08,330.25919999999996,723.3072
2004-07-01,106.14,2.21,234.57,327.9726,724.8213
2004-08-01,107.9,2.19,236.3,333.411,730.167
2004-09-01,108.54,2.19,237.7,335.3886,734.4929999999999
2004-10-01,108.1,2.2,237.82,334.02899999999994,734.8638
2004-11-01,108.25,2.2,238.15,334.4925,735.8835
2004-12-01,108.36,2.21,239.48,334.8324,739.9931999999999
2005-01-01,108.66,2.22,241.23,335.75939999999997,745.4006999999999
2005-02-01,111.37,2.21,246.13,344.1333,760.5417
2005-03-01,114.71,2.18,250.07,354.4539,772.7162999999999
2005-04-01,114.18,2.19,250.05,352.8162,772.6545
2005-05-01,114.04,2.19,249.75,352.3836,771.7275
2005-06-01,114.49,2.2,251.88,353.7741,778.3091999999999
2005-07-01,115.78,2.2,254.72,357.7602,787.0848
2005-08-01,117.5,2.18,256.15,363.075,791.5034999999999
2005-09-01,120.14,2.16,259.49,371.2326,801.8241
2005-10-01,120.7,2.17,261.92,372.96299999999997,809.3328
2005-11-01,124.73,2.15,268.17,385.4157,828.6453
2005-12-01,124.59,2.16,269.11,384.9831,831.5499
2006-01-01,125.81,2.17,273.01,388.7529,843.6008999999999
2006-02-01,127.19,2.16,274.73,393.01709999999997,848.9157
2006-03-01,129.44,2.15,278.3,399.96959999999996,859.947
2006-04-01,128.49,2.16,277.54,397.0341,857.5986
2006-05-01,126.57,2.18,275.92,391.1013,852.5928
2006-06-01,126.62,2.19,277.3,391.2558,856.857
2006-07-01,126.36,2.2,277.99,390.45239999999995,858.9891
2006-08-01,126.68,2.2,278.7,391.4412,861.1829999999999
2006-09-01,126.78,2.2,278.92,391.7502,861.8628
2006-10-01,127.88,2.2,281.34,395.14919999999995,869.3405999999999
2006-11-01,130.5,2.18,284.49,403.245,879.0741
2006-12-01,134.14,2.17,291.08,414.4925999999999,899.4372
