Provincia,Autonomia economica,Ranking
Buenos Aires,76.79577635514373,9.0
CABA,81.231704083092,3.0
Catamarca,74.84186583098648,17.0
Chaco,77.58077314165433,8.0
Chubut,74.90119675579128,16.0
Corrientes,77.81237204125689,7.0
Córdoba,79.67756288351985,6.0
Entre Ríos,69.65920238095674,24.0
Formosa,80.04591445471307,5.0
Jujuy,75.2780701762263,12.0
La Pampa,72.21387323984106,22.0
La Rioja,71.58178101580495,23.0
Mendoza,74.48980505675196,19.0
Misiones,72.99034755514094,21.0
Neuquén,74.99940957743961,14.0
Río Negro,82.83746118772031,2.0
Salta,76.18889835514193,11.0
San Juan,74.92526754888117,15.0
San Luis,74.72340003613549,18.0
Santa Cruz,73.87693172941569,20.0
Santa Fe,82.88002333712758,1.0
Santiago del Estero,75.02397346261274,13.0
TdF,80.06574588711253,4.0
Tucumán,76.53588548393176,10.0
