PROVINCIA,Varon,Mujer,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot,Actividad,LI,LS,ME,ER
CABA,72.27629588577847,58.39556848522395,748,686,853736.1970113546,794019.5531173546,1647755.7501287092,80.79491037768335,75.90661771089967,85.68320304446702,4.888292666783679,6.05024826926956
Buenos Aires,70.00434873596313,50.651066705503176,4493,3702,4581146.700482004,3509455.8583964617,8090602.5588784665,72.35417173373737,70.25916262372904,74.4491808437457,2.095009110008328,2.8954918006911066
Catamarca,62.886098478064255,47.90442618476053,1107,891,78834.96404154367,62810.37622275838,141645.34026430204,76.17649582994946,71.83383214500529,80.51915951489363,4.342663684944173,5.700792137562223
Córdoba,74.43161024812525,49.53275692578663,2139,1696,961082.3939139545,701545.2392858039,1662627.6331997584,66.54801200815649,63.534736436708364,69.56128757960461,3.0132755714481263,4.52797233233474
Corrientes,68.10678214967801,42.85671921627435,1019,705,241853.21215564915,161617.72589919757,403470.9380548467,62.92577312210743,58.2854307747241,67.56611546949077,4.640342347383328,7.374311219631336
Chaco,68.89382588430655,39.80408188895512,919,651,262418.58797401725,161370.75610805876,423789.344082076,57.775978294191624,52.970081908319266,62.581874680063976,4.805896385872356,8.31815665915865
Chubut,67.0783924645592,47.41731128580468,1284,1031,147685.47727749185,106056.67120357207,253742.14848106392,70.68939720172568,66.70230698652009,74.67648741693127,3.987090215205586,5.6402945463343865
Entre Ríos,65.47525441987545,46.47334332234783,1646,1223,314996.40582281566,243424.8144086551,558421.2202314708,70.97848451924538,67.36059936428248,74.59636967420829,3.6178851549629054,5.097157511135558
Formosa,58.470840961529056,27.964823026660905,912,482,113398.06909473366,57694.12141086851,171092.19050560216,47.82695539655465,42.70026952383053,52.953641269278776,5.126685872724122,10.719239454438359
Jujuy,67.23078957318135,48.70311302191613,1523,1311,183327.50980058103,140310.71313134147,323638.22293192253,72.44167937207153,68.85317258038036,76.0301861637627,3.5885067916911706,4.953649367044697
La Pampa,66.16338011935952,47.74241504397326,687,580,79604.36055029019,60226.75395510422,139831.11450539442,72.15836760130058,66.76925639394297,77.54747880865818,5.389111207357612,7.468449448765632
La Rioja,68.4832110654344,48.482179518635796,1190,928,88850.27829970258,66657.66131856017,155507.93961826275,70.79425564947881,66.63412413966377,74.95438715929386,4.160131509815044,5.876368741572708
Mendoza,72.1430709828429,48.91009805101953,1454,1139,448355.4845719618,328532.0670382027,776887.5516101646,67.7959745609545,64.089599625285,71.502349496624,3.7063749356695026,5.4669542840440295
Misiones,69.14752986703635,46.38769582182606,1032,804,242749.79270808835,174007.56144459816,416757.35415268654,67.0851090574383,62.63273518873124,71.53748292614537,4.4523738687070695,6.636903377312758
Neuquén,66.43846336712204,48.878853949960074,902,751,149382.95325623272,114647.47963215265,264030.4328883854,73.57011507004304,68.85019884379724,78.29003129628884,4.719916226245799,6.415534652558534
Río Negro,65.75568103229115,46.201576798332304,1170,931,162591.06228245408,119870.53044276527,282461.5927252193,70.2624869410808,66.0614070166044,74.46356686555717,4.201079924476383,5.979122156605748
Salta,66.67379655503099,48.64746368455044,1762,1451,327740.85436871916,254069.4570217179,581810.3113904371,72.96339221420813,69.57841064753337,76.34837378088287,3.3849815666747523,4.639287544001547
San Juan,68.78934155141181,41.39235323799219,1335,883,181986.027608938,118131.34324867885,300117.3708576168,60.172626026746244,56.08218618195141,64.26306587154109,4.090439844794832,6.7978416680313485
San Luis,67.09805586399786,46.174858584252405,1142,812,111656.49892050105,79669.79723937859,191326.29615987965,68.8169843219377,64.43702492077416,73.19694372310121,4.379959401163522,6.364648849873047
Santa Cruz,66.0782171509802,52.29706702528244,640,539,97274.37233432407,73834.74303916225,171109.1153734863,79.14418590590967,73.55544936936205,84.73292244245727,5.588736536547616,7.061461903457785
Santa Fe,69.34857512209732,50.63489235450419,2066,1663,836685.7511202167,654327.998716786,1491013.7498370027,73.01504359008787,69.89634196050093,76.1337452196748,3.1187016295869308,4.27131379540847
Santiago del Estero,66.66907456030118,39.00994560996564,1248,853,177136.89844268255,112950.01717159981,290086.91561428236,58.512805025787074,54.32297276201729,62.70263728955686,4.189832263769785,7.160539068197622
Tucumán,68.6368135053684,45.24224091308204,1626,1217,343661.25197082094,242824.83719429045,586486.0891651114,65.91541565306414,62.3229901619525,69.5078411441758,3.5924254911116544,5.450053611161074
TdF,68.50481798936823,49.292227966345216,440,317,45086.21308038092,30191.21357697206,75277.42665735297,71.95439592875823,64.94538627960219,78.96340557791427,7.009009649156043,9.740905414723567
