Provincia,Mujer,Varon,N_m,N_v,N_pob_v,N_pob_m,N_pob_tot,No Pobreza,LI,LS,ME,ER
Buenos Aires,36.381408834550825,39.325995434996734,1472,1674,832778.9613340836,476073.833862077,1308852.7951961607,92.51236601165476,,,,
CABA,63.80861837639314,69.286661985442,215,195,205657.13118052098,190011.5113757623,395668.6425562833,92.09365345064559,,,,
Catamarca,32.43065580762723,40.328937846624015,408,414,12755.808266571908,9709.051338056706,22464.859604628615,80.41534823199427,,,,
Chaco,22.055113649895016,25.141356721808844,360,337,26711.47150976157,20094.480345416305,46805.951855177875,87.72443704584698,,,,
Chubut,43.17385843618609,47.57895090857453,433,550,34019.02624692094,19793.874313465425,53812.90056038636,90.74150987302544,,,,
Corrientes,33.267340514853416,37.97300721059679,316,379,36859.36774899962,28055.004156463205,64914.37190546282,87.60786400285356,,,,
Córdoba,35.96871171608879,40.891604140726564,627,854,161861.67919956212,96298.34247110561,258160.02167066775,87.96111688918865,,,,
Entre Ríos,28.751869161063137,41.9554678506491,532,668,67398.80385486838,29845.49867903414,97244.30253390252,68.52949242137534,,,,
Formosa,23.121720395454854,26.318709914057862,330,376,13667.349091709233,10149.796721889325,23817.14581359856,87.85278788723846,,,,
Jujuy,28.751055809623725,31.441593054527374,472,512,20672.77943731484,15917.475047826607,36590.25448514144,91.4427451553183,,,,
La Pampa,30.96822570381907,44.37674248165968,244,268,16462.95797561771,6127.742491289527,22590.700466907238,69.78481062826508,,,,
La Rioja,30.8533343201291,33.32723381773731,410,448,12282.650576896558,9011.679082271552,21294.32965916811,92.57694319565293,,,,
Mendoza,28.952158208037726,32.84412469679946,446,503,53882.873206686134,37028.249856596485,90911.12306328262,88.15018964673158,,,,
Misiones,35.411517704468984,40.63523985137938,394,426,47018.79389531776,31938.74892818704,78957.5428235048,87.14484726553648,,,,
Neuquén,40.31424152568388,43.02518812217886,342,359,27837.137260534837,22079.52064914808,49916.657909682915,93.69916387396916,,,,
Río Negro,35.777828544179386,33.610512452471276,399,458,24833.88567951025,21070.56297150411,45904.44865101436,106.44832801872009,,,,
Salta,33.10521152981631,36.170522411972144,562,646,46086.436448722605,34073.24287951004,80159.67932823265,91.52538952232206,,,,
San Juan,35.49306413810383,40.91045308187729,381,493,28539.208208468157,18586.053036663292,47125.26124513145,86.75793462142497,,,,
San Luis,31.332970092597556,36.31286301628819,339,435,17522.424011909032,10250.645658555335,27773.069670464367,86.28614625771344,,,,
Santa Cruz,38.84731487841767,47.02507360962275,265,280,22988.057266279346,13090.5946061938,36078.65187247314,82.60979068508749,,,,
Santa Fe,41.61165184541691,41.85196364367472,634,737,151530.30372703483,93113.05093343805,244643.3546604729,99.42580520162969,,,,
Santiago del Estero,31.149583732150752,33.602244703555726,461,454,21652.621645753865,18922.732678269484,40575.35432402335,92.7009014039308,,,,
TdF,52.399103595724185,48.805996188122,130,184,10247.116598535566,6694.432893928145,16941.54949246371,107.36202042419664,,,,
Tucumán,36.33287770302182,41.335383092423065,502,607,55131.975758170476,36064.03147185602,91196.0072300265,87.89776454178255,,,,
